round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,rec_objective,rec_probe_only,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
58,1,0.13658619068502784,0.0,0.0,0.6055047286184211,0.9262499287568282,0.5608487117447352,0.16882211902350383,0.0,0.0,0.0,0.0,0.39449527138157897,0,0.0,0,0.03199741360654834,0.20887264395622832,0.0,0.0,0.2485840998147308,0.007714042251954149,0,0.0,0.03644699223437592,0.1722900531205692,0,0.24858409980998228,194560,760,0.4520376759532251,0.9119962993421052,40,0.989073800366903
59,1,0.13613458467964154,0.0,0.0,0.6139185855263158,0.9266112092422675,0.5688638429108419,0.13986976646180999,0.0,0.0,0.0,0.0,0.3860814144736842,0,0.0,0,0.031949041193001904,0.20553148379059213,0.0,0.0,0.2453727081811705,0.007892183197576454,0,0.0,0.03616080733114167,0.16656078800166907,0,0.2453727082692479,194560,760,0.455864062395535,0.9011872944078947,40,0.9972609476841364
60,1,0.13567627457812104,0.0,0.0,0.6123046875,0.9167215822325999,0.5613129219334376,0.1777951307031081,0.0,0.0,0.0,0.0,0.3876953125,0,0.0,0,0.03544289711418586,0.20090527479585849,0.0,0.0,0.24454190428414702,0.00819373237410266,0,0.0,0.03642112396069263,0.1638746446684787,0,0.24454190420280947,194560,760,0.45360809543022984,0.8986122532894737,40,1.0
61,1,0.13521131063933362,0.0,0.0,0.6332339638157894,0.9149159429770038,0.5793558491295889,0.14006553063732816,0.0,0.0,0.0,0.0,0.36676603618421055,0,0.0,0,0.04187225671354865,0.2000398755759785,0.0,0.0,0.24985985832226054,0.007947726032733428,0,0.0,0.035680381983126466,0.15104921697393844,0,0.24985985810819425,194560,760,0.48186997351677796,0.9414884868421053,40,1.0
62,1,0.13473974385181473,0.0,0.0,0.6259662828947369,0.9096316098501268,0.5693987176214393,0.13336484731836734,0.0,0.0,0.0,0.0,0.3740337171052632,0,0.0,0,0.04059881540168518,0.19606693274292505,0.0,0.0,0.24540717635383386,0.008741428209223637,0,0.0,0.036336954006631124,0.1582834406216678,0,0.24540717657655478,194560,760,0.4796289648860693,0.9522152549342106,40,1.0
63,1,0.13426162592817675,0.0,0.0,0.6246659128289473,0.9286741706420331,0.5801110985247713,0.16588145850201774,0.0,0.0,0.0,0.0,0.37533408717105265,0,0.0,0,0.03242911441829117,0.19235702411908853,0.0,0.0,0.23397972727244978,0.00919358873507008,0,0.0,0.03639861482538675,0.15899886783996695,0,0.2339797269454912,194560,760,0.46130213447307283,0.8903371710526315,40,1.0
64,1,0.13377700929943795,0.0,0.037037037037037035,0.6099249588815789,0.9264240232907074,0.5650491343124917,0.13329351935780753,0.28726870888157896,0.023635088760763104,0.006789621432605935,0.003427708950690239,0.1028063322368421,0,0.0,0,0.02493978262783984,0.19359085397108605,0.009788787073762559,0.005692629514962841,0.24306021105552877,0.009048157867877498,55891,0.5688572399849707,0.036649219064336075,0.14981489293277264,0,0.24306021113144724,194560,760,0.4430900823128851,0.8819078947368421,40,1.0
65,1,0.1332859471092728,0.0,0.07407407407407407,0.6450555098684211,0.9256758956373002,0.5971123368332261,0.12301388618683344,0.26437602796052634,0.04597203358916581,0.012153903637571555,0.006248063409523303,0.09056846217105263,0,0.0,0,0.02551022747693902,0.1920530253727185,0.017490153963047626,0.011013120806705185,0.25467182057722565,0.008605292957815293,51437,0.5267025681902132,0.03660205649702172,0.13672008833994992,0,0.25467182056684246,194560,760,0.46423799707309193,0.9119962993421052,40,1.0
66,1,0.1327884932081842,0.0,0.1111111111111111,0.6135896381578947,0.9240341304754128,0.5669777677639535,0.1376606935969137,0.28388671875,0.06958323067145779,0.01975375503534451,0.01065040651439248,0.10252364309210527,0,0.0,0,0.036721987478545326,0.19114174226200895,0.0328473589388512,0.016823341635584133,0.2871644162171049,0.00962998590211531,55233,0.4994115836546992,0.03627982609660218,0.14713309797409332,0,0.28716441663472275,194560,760,0.46918965683955893,0.9426552220394737,40,1.0
67,1,0.13228470214759813,0.0,0.14814814814814814,0.6394582648026316,0.9245936494070098,0.5912390506973392,0.12319905792951191,0.26713096217105264,0.09297004805344632,0.024835178389606114,0.012368216208721462,0.09341077302631579,0,0.0,0,0.02617754755606017,0.18497317240230346,0.0327616907452863,0.021784498731062894,0.27550800298324624,0.00981109354853336,51973,0.5732014699940353,0.03695613369345665,0.14445413784369043,0,0.2755080025054907,194560,760,0.46885171365973194,0.9245888157894737,40,1.0
