round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
156,3,0.07029071103530152,1.0,1.0,0.661389802631579,0.9043105148253768,0.5981017529180176,0.07579750957328973,0.23976665296052632,0.5776802595667181,0.13850846231768005,0.05029122991989808,0.09884354440789474,0,0.0,0,0.009074470217992233,0.16192708435027223,0.10466693454716158,0.024616072405325738,0.30932309880912445,0.009038537288372601,46649,0.6926193487534567,0.03620785269396085,0.3093230977850525,194560,760,0.41588051913208085,0.79052734375,40,1.0
157,3,0.06950713521542762,1.0,1.0,0.6556332236842105,0.9113325872029507,0.5974999219963425,0.07663402637822161,0.24306126644736842,0.5883588618268218,0.14300725008115955,0.0501586309278776,0.10130550986842106,0,0.0,0,0.007623799493472018,0.1660678205668534,0.10660819153938639,0.026634227147227844,0.3170844432134886,0.010150404466548935,47290,0.6902727849439628,0.03640930594778374,0.31708444354957654,194560,760,0.4117414200384366,0.793688322368421,40,1.0
158,3,0.06872416175007631,1.0,1.0,0.6807360197368421,0.9085666865829556,0.6184940698899721,0.06626774866905946,0.22320620888157894,0.5670645504501575,0.1265723284971165,0.046554005589017546,0.09605777138157895,0,0.0,0,0.008321806169949828,0.16037505642069796,0.10090715082509345,0.02665624019738875,0.30513908729144823,0.008878833678318187,43427,0.6600501991848389,0.03627820965392809,0.3051390864249123,194560,760,0.44290427173438823,0.8450143914473685,40,1.0
159,3,0.06794187650111144,1.0,1.0,0.6526418585526316,0.9082735845115794,0.5927773602698979,0.07298835214950439,0.24065583881578947,0.5700995702317022,0.1371977902826314,0.05110504747993362,0.10670230263157894,0,0.0,0,0.009468921117475378,0.1701581085296838,0.11493076586262568,0.023581094314393248,0.3281101279908112,0.009971238166633013,46822,0.641920464738798,0.03602548580322611,0.328110128405847,194560,760,0.43785037866940624,0.8226408305921052,40,1.0
160,3,0.06716036525492601,1.0,1.0,0.6644736842105263,0.9142583225623215,0.6075005959131216,0.06415231701194946,0.23020662006578949,0.5663295483546055,0.1303728111700988,0.048381519026282294,0.10531969572368421,0,0.0,0,0.009328038958751438,0.1626960478919117,0.10850926084983113,0.026562219648376892,0.3172236106562425,0.01012804330737134,44789,0.6275648038580901,0.035923019394670665,0.3172236100623482,194560,760,0.43840306469876517,0.8226768092105263,40,1.0
161,3,0.06637971371303501,1.0,1.0,0.6626901726973684,0.9125068228857577,0.6047093040456898,0.06867774353779264,0.23465254934210528,0.5728580528162686,0.1344226025044918,0.04936502308547987,0.10265727796052632,0,0.0,0,0.008191722372430377,0.16908278144209793,0.10922148666638685,0.0250407328005684,0.3212012755668318,0.009664552285348212,45654,0.6315547378104875,0.036061681856058146,0.32120127601450993,194560,760,0.43741229409842114,0.8207493832236842,40,1.0
162,3,0.06560000748267719,1.0,1.0,0.6603258634868421,0.9047021908527838,0.5973982553733023,0.07784016360865759,0.23949938322368422,0.5692560107323669,0.13633646346677683,0.04926809566095471,0.10017475328947369,0,0.0,0,0.00880271454213806,0.15936468776413484,0.10514568164699564,0.025339456143739975,0.3071502777428664,0.00849773764585782,46597,0.6841427559714145,0.0361822267160996,0.30715027803457096,194560,760,0.4341317372886758,0.8183645148026316,40,1.0
163,3,0.06482133206742717,1.0,1.0,0.6499331825657895,0.9029022154531372,0.5868261104351595,0.08177783735139345,0.24513774671052632,0.5764991605627255,0.14132170520085646,0.05079836157567211,0.10492907072368421,0,0.0,0,0.007874058284850386,0.16003051397243612,0.10169352151110377,0.02505537682065839,0.30458224635282505,0.00992877576377635,47694,0.7138214450454984,0.0362344209938065,0.304582245393019,194560,760,0.4249405602875509,0.8059467516447368,40,1.0
164,3,0.06404377285781913,1.0,1.0,0.6709087171052631,0.9041228050204112,0.6065838712218561,0.06999115839747613,0.23121916118421051,0.5533888420023915,0.12795410385649456,0.04949804541691648,0.09787212171052631,0,0.0,0,0.008702069953678324,0.160669821941931,0.10544187762823544,0.026617423243036398,0.3111754236072853,0.009744230840404175,44986,0.6509358467078646,0.03626152015242137,0.311175424605608,194560,760,0.44180231582569446,0.8332596628289474,40,1.0
165,3,0.0632674151219827,1.0,1.0,0.6667660361842105,0.9058698257167052,0.6040032329920091,0.07524907796239284,0.23163548519736843,0.5699438859902881,0.13201922856663403,0.04750161058833136,0.10159847861842106,0,0.0,0,0.006951600978515528,0.16041240026488116,0.10508510458136075,0.025711073936208303,0.3082728639208424,0.010112684159876631,45067,0.6593072536445737,0.03631652979376285,0.3082728631892487,194560,760,0.43188524379542,0.8243009868421053,40,1.0
166,3,0.06249234399629232,1.0,1.0,0.6786543996710527,0.9086356866332536,0.6166496064317853,0.06011271195234976,0.22517989309210526,0.5744194828904251,0.12934771774728832,0.04303476355639041,0.0961657072368421,0,0.0,0,0.007123800862609641,0.1590663341805339,0.09684916868756868,0.02379129799965181,0.2960508359530803,0.00922023422271626,43811,0.6853073429047499,0.03639918164301075,0.29605083634194573,194560,760,0.41084403605445435,0.7821751644736842,40,1.0
167,3,0.061718644476031245,1.0,1.0,0.6614823190789474,0.901660385657069,0.596432402926056,0.06393327090313267,0.23231393914473683,0.5503595275012141,0.12785618977964316,0.047493856708445636,0.1062037417763158,0,0.0,0,0.007244191535688802,0.1644200738568447,0.1103726928489969,0.024483563613734747,0.31731935096464253,0.010798829109377326,45199,0.6008761255779995,0.03631518186609212,0.3173193509445379,194560,760,0.4520070572432719,0.8544973273026316,40,1.0
168,3,0.06094640140607064,1.0,1.0,0.674573396381579,0.901303909129109,0.607995639153217,0.060533836019213166,0.22720497532894737,0.5526301833788014,0.12556032718061225,0.0444561372266004,0.09822162828947369,0,0.0,0,0.005854184739176784,0.1588994958879132,0.09642154295487623,0.02410615655936693,0.2947547274022011,0.009473347260867931,44205,0.653161407080647,0.036272648442536595,0.2947547278416,194560,760,0.43696080820732996,0.8310341282894737,40,1.0
169,3,0.06017569947156553,1.0,1.0,0.67119140625,0.9005239461090087,0.6044239337507047,0.06966029740226651,0.2305921052631579,0.5558979355128277,0.12818567526134614,0.047877335550239014,0.0982164884868421,0,0.0,0,0.007855209215784654,0.15807789454334661,0.10149304941541662,0.026349057923806343,0.30242903706725643,0.008653825968902216,44864,0.6711171540656206,0.036404691621857256,0.30242903559027534,194560,760,0.44521443879133776,0.8467927631578948,40,1.0
170,3,0.059406623188668045,1.0,1.0,0.6787983141447368,0.9123490408288708,0.6193009908262052,0.08192443921181716,0.22814041940789473,0.5772078690902823,0.13168444533979423,0.04684022851655946,0.09306126644736842,0,0.0,0,0.007270716004859424,0.15759946767632899,0.09892082925591814,0.024323723622058566,0.2978922958657725,0.009777559306607337,44387,0.695271137945795,0.036470174647279474,0.29789229615738516,194560,760,0.4090298089149751,0.7775133634868421,40,1.0
171,3,0.058639256895259305,1.0,1.0,0.6929070723684211,0.9022586530377503,0.6251814017954626,0.05734644874158364,0.21099917763157894,0.5434311529029638,0.11466352636190622,0.04202639967950649,0.09609375,0,0.0,0,0.00723424238634547,0.1600324618875196,0.10294352711153854,0.025150294656816286,0.3043964372077224,0.00903591116550256,41052,0.592200136412355,0.0360190387815237,0.30439643743202877,194560,760,0.46484588347375394,0.8902754934210526,40,1.0
172,3,0.05787368474170082,1.0,1.0,0.6841231496710526,0.9090267557498242,0.6218862472788284,0.06877187387037434,0.2210474917763158,0.5649137294935244,0.12487276297454772,0.04694045112486683,0.09482935855263158,0,0.0,0,0.007503126697242566,0.15853437290183808,0.09976680179396154,0.024781193762625518,0.2985076258570265,0.007922130701358823,43007,0.655428186109238,0.0362064113448325,0.2985076247077239,194560,760,0.43866479536028286,0.8227179276315789,40,1.0
173,3,0.05710999068160644,1.0,1.0,0.6742907072368421,0.9035226191059738,0.609236905841451,0.07294424644420168,0.22566303453947367,0.5639452112982233,0.12726158769556173,0.04668159344123284,0.10004625822368421,0,0.0,0,0.00783044491916754,0.15454967104290662,0.09813419110019152,0.022208996869035456,0.29130577960260684,0.008582475671305713,43905,0.6917663136317048,0.03621629442235357,0.29130577877359953,194560,760,0.43132413410042464,0.8053248355263158,40,1.0
174,3,0.0563482584626359,1.0,1.0,0.6404913651315789,0.9027261372938972,0.5781882960153254,0.08384238730527853,0.2492393092105263,0.5776465846339164,0.14397223572197712,0.04999491782417815,0.11026932565789474,0,0.0,0,0.00870720302386632,0.16751214042305945,0.11310394234023988,0.02572430426352902,0.3257186126166198,0.010671022565925102,48492,0.6709766559432484,0.03608252258089028,0.3257186122042568,194560,760,0.417049309376039,0.7944130345394737,40,1.0
175,3,0.05558857161731095,1.0,1.0,0.6770816200657894,0.9089334608133327,0.615422140179496,0.07487984306889733,0.22860814144736843,0.5672046690408722,0.1296676052097035,0.046623735694753886,0.0943102384868421,0,0.0,0,0.008257301765422055,0.16136017082945298,0.10134952949654115,0.025122025558038767,0.30561307877459176,0.00952405112513684,44478,0.6633616619452314,0.03626310379293404,0.3056130786475382,194560,760,0.4314383835972924,0.8336811266447368,40,1.0
176,3,0.05483101345385508,1.0,1.0,0.647717927631579,0.9049797112592495,0.5861715831254658,0.07696833647328037,0.24674136513157896,0.5751912403428514,0.1419234718539213,0.049629470066927174,0.1055407072368421,0,0.0,0,0.007035471053064899,0.16412394061488542,0.10283639098664647,0.023617740108778602,0.3082881649991951,0.010674622235819697,48006,0.6971420239136774,0.036187242520482915,0.30828816508384127,194560,760,0.4044934325900517,0.7659128289473685,40,1.0
177,3,0.054075667047057796,1.0,1.0,0.6816200657894737,0.9083645525431399,0.6191595060652808,0.06159359142766334,0.22594058388157895,0.5700324487717614,0.12879346430693803,0.04302618175095536,0.09243935032894737,0,0.0,0,0.006337310489930372,0.15593303761592037,0.09315701394685005,0.024457075656636768,0.28853955664853476,0.008655118939197182,43959,0.6981505493755545,0.03645221900292917,0.28853955759029637,194560,760,0.40679742858598106,0.7765779194078948,40,1.0
178,3,0.053322615229164615,1.0,1.0,0.7002878289473684,0.902128619530625,0.6317496924023879,0.07053502157397912,0.21225328947368421,0.5556642727212636,0.11794156972809057,0.044685233838390556,0.08745888157894736,0,0.0,0,0.007835452526954835,0.15580307855025718,0.09624398586977469,0.024088481767593248,0.29272098976931854,0.008749991054738577,41296,0.6711788066640837,0.036363893958102717,0.29272099044173955,194560,760,0.43341769928994933,0.8231548108552632,40,1.0
179,3,0.0525719405807935,1.0,1.0,0.6600997121710527,0.9064706488810854,0.5983610144179118,0.07326043929635107,0.23537212171052632,0.5720513208821366,0.13464493312333758,0.046905295155011115,0.10452816611842106,0,0.0,0,0.006594692472419028,0.1605371583253145,0.10308344238437712,0.0230725182671296,0.303063916629525,0.009776105180284695,45794,0.6806786915316417,0.03628766126930714,0.30306391698357305,194560,760,0.4036002003440731,0.7705026726973684,40,1.0
180,3,0.05182372542187895,1.0,1.0,0.6766447368421052,0.9072568560898391,0.6138905766371049,0.06340852065600062,0.22233244243421052,0.5547029147254067,0.12332845385627526,0.04631112900893449,0.10102282072368421,0,0.0,0,0.008696322153570546,0.168779706209898,0.11496720677486767,0.024828488775774052,0.326884402768812,0.009612678854701746,43257,0.5717224957810296,0.03588728568467655,0.3268844037659858,194560,760,0.45642149977778135,0.8712016858552631,40,1.0
181,3,0.051078051802644756,1.0,1.0,0.7111533717105263,0.910563845448429,0.647550548848353,0.0540314197353406,0.2042454769736842,0.5690212445348131,0.11622001549817229,0.03893302777463472,0.08460115131578948,0,0.0,0,0.006696419194677698,0.1425726645037924,0.09061806214679229,0.02252897894990287,0.269826184906476,0.007410060111310725,39738,0.6607277668730183,0.036519198967634066,0.26982618454647694,194560,760,0.43741546826143013,0.8121659128289473,40,1.0
182,3,0.05033500149460627,1.0,1.0,0.6505139802631579,0.9017717190192098,0.5866151102279362,0.07189717616297697,0.24134971217105264,0.5658599075376524,0.13657012581335087,0.050438825124384544,0.10813630756578947,0,0.0,0,0.006548866793194687,0.16142260367540937,0.10991570351792401,0.02300280652842239,0.31117803181815695,0.010288051303206501,46957,0.6381796111335903,0.03606813229424389,0.31117803103437547,194560,760,0.4299389076272124,0.808362458881579,40,1.0
