round,client,pred_class,geometry_group,a_visits,a_correct,old_weight,new_weight,old_wrong_weight,new_wrong_weight,calibrated_visits
196,16,3,neutral,2363.0,2261.0,2349.5207082629204,2363.0,101.81967389583588,102.0,2261.0
196,16,3,distance,504.0,400.0,389.3460265994072,491.52025532722473,72.89261084794998,99.92573076486588,313.0
196,16,4,unknown,7.0,0.0,7.0,7.0,7.0,7.0,0.0
196,16,5,neutral,527.0,363.0,513.9548891186714,527.0,154.6412752866745,164.0,513.0
196,16,5,distance,562.0,52.0,338.7624739408493,540.0335438847542,300.11786526441574,488.7519967556,301.0
196,16,5,conflict,4.0,0.0,2.2583420276641846,3.2417490482330322,2.2583420276641846,3.2417490482330322,0.0
196,16,6,neutral,855.0,484.0,835.2180441021919,855.0,357.44857442379,371.0,823.0
196,16,6,distance,1358.0,106.0,788.3970137238503,1303.3780232667923,702.8250263929367,1199.019050359726,961.0
196,16,6,conflict,1.0,0.0,0.616925835609436,0.9613147377967834,0.616925835609436,0.9613147377967834,0.0
196,16,7,neutral,79.0,75.0,78.16300934553146,79.0,3.9951764941215515,4.0,78.0
196,16,7,distance,176.0,154.0,165.6455906033516,175.14662593603134,20.716268181800842,21.878480553627014,171.0
196,16,8,unknown,2071.0,2050.0,2071.0,2071.0,21.0,21.0,0.0
196,16,9,unknown,2855.0,2842.0,2855.0,2855.0,13.0,13.0,0.0
196,7,0,neutral,205.0,176.0,195.8577836751938,205.0,25.75269967317581,29.0,205.0
196,7,0,distance,231.0,79.0,146.79531288146973,223.58916401863098,88.64062321186066,145.83073019981384,185.0
196,7,1,unknown,2741.0,2738.0,2741.0,2741.0,3.0,3.0,0.0
196,7,2,neutral,1573.0,1557.0,1541.6444793343544,1573.0,14.977633595466614,16.0,1545.0
196,7,2,distance,806.0,724.0,568.6797359585762,782.8817803859711,52.640813171863556,78.15935999155045,663.0
196,7,3,neutral,202.0,161.0,193.6725333929062,202.0,38.81539100408554,41.0,197.0
196,7,3,distance,199.0,43.0,144.71898889541626,193.7399999499321,111.06408149003983,151.41312682628632,140.0
196,7,4,neutral,1170.0,257.0,1162.6368993520737,1170.0,909.7063204050064,913.0,1156.0
196,7,4,distance,1447.0,36.0,988.9032568335533,1415.5724096298218,966.5621007680893,1380.3274676799774,1407.0
196,7,5,unknown,57.0,57.0,57.0,57.0,0.0,0.0,0.0
196,7,6,neutral,543.0,475.0,533.8496661782265,543.0,66.42266482114792,68.0,537.0
196,7,6,distance,579.0,168.0,341.47875744104385,556.6649289727211,220.8675236105919,391.4031193256378,427.0
196,7,7,unknown,734.0,734.0,734.0,734.0,0.0,0.0,0.0
196,7,8,neutral,3188.0,3162.0,3146.1884080171585,3188.0,24.643444538116455,26.0,3163.0
196,7,8,distance,662.0,621.0,482.57211166620255,651.535385966301,26.25101900100708,39.80224400758743,653.0
196,7,9,neutral,3156.0,3044.0,3136.748534798622,3156.0,110.97131335735321,112.0,3126.0
196,7,9,distance,967.0,851.0,731.3220294117928,951.8957660198212,86.5187965631485,113.20186758041382,930.0
196,19,0,neutral,431.0,335.0,428.7468606233597,431.0,95.38261687755585,96.0,427.0
196,19,0,distance,509.0,74.0,319.4080248475075,488.31809282302856,259.5954717993736,415.26147270202637,343.0
196,19,1,unknown,916.0,912.0,916.0,916.0,4.0,4.0,0.0
196,19,2,neutral,1753.0,1725.0,1700.8274147510529,1753.0,26.659440279006958,28.0,1742.0
196,19,2,distance,1069.0,974.0,714.4965560436249,1041.241175711155,55.6652535200119,90.58149111270905,938.0
196,19,2,conflict,2.0,2.0,1.113404929637909,1.6256412863731384,0.0,0.0,0.0
196,19,3,unknown,222.0,180.0,222.0,222.0,42.0,42.0,0.0
196,19,4,unknown,621.0,607.0,621.0,621.0,14.0,14.0,0.0
196,19,5,neutral,3305.0,2973.0,3262.168238222599,3305.0,322.20937782526016,332.0,3164.0
196,19,5,distance,1173.0,696.0,825.8046603798866,1142.4973133206367,311.4108394384384,460.9941743016243,976.0
196,19,6,neutral,2210.0,2126.0,2182.33235424757,2210.0,82.9531392455101,84.0,2192.0
196,19,6,distance,1513.0,1278.0,1052.7794271707535,1477.727388203144,146.7251284122467,226.64358347654343,1445.0
196,19,7,neutral,659.0,656.0,636.9748013615608,659.0,2.606948494911194,3.0,659.0
196,19,7,distance,1689.0,1660.0,1322.608381152153,1670.8040779232979,20.057404935359955,28.471575319767,1662.0
196,19,8,neutral,433.0,372.0,426.72069519758224,433.0,59.8848517537117,61.0,425.0
196,19,8,distance,292.0,63.0,183.85507369041443,281.2896100282669,131.02087938785553,218.92821568250656,202.0
196,19,9,unknown,4.0,0.0,4.0,4.0,4.0,4.0,0.0
196,11,0,neutral,1865.0,1753.0,1818.63993704319,1865.0,100.41006737947464,112.0,1861.0
196,11,0,distance,985.0,684.0,615.5798587203026,957.813331246376,171.94024497270584,289.78095257282257,656.0
196,11,1,neutral,81.0,81.0,78.95886516571045,81.0,0.0,0.0,81.0
196,11,1,distance,22.0,18.0,17.50561612844467,21.702477395534515,2.2927526235580444,3.850583553314209,17.0
196,11,2,unknown,15.0,9.0,15.0,15.0,6.0,6.0,0.0
196,11,3,neutral,1271.0,1237.0,1243.9139864444733,1271.0,33.30212587118149,34.0,1243.0
196,11,3,distance,752.0,713.0,586.1271466612816,738.7263352870941,29.32271635532379,37.96397864818573,519.0
196,11,4,unknown,102.0,69.0,102.0,102.0,33.0,33.0,0.0
196,11,5,unknown,18.0,12.0,18.0,18.0,6.0,6.0,0.0
196,11,6,neutral,1231.0,1204.0,1225.121465563774,1231.0,26.555916368961334,27.0,1215.0
196,11,6,distance,1423.0,1347.0,1093.872049510479,1396.0394728779793,52.658910036087036,73.85095602273941,1129.0
196,11,7,neutral,3362.0,3341.0,3341.3827541470528,3362.0,20.493320167064667,21.0,3360.0
196,11,7,distance,1008.0,838.0,665.2114515900612,980.4583490490913,95.06355637311935,161.44469302892685,721.0
196,11,8,neutral,2783.0,2767.0,2660.6410537958145,2783.0,11.242135643959045,16.0,2781.0
196,11,8,distance,1257.0,1199.0,864.315560400486,1232.1059520840645,35.06270372867584,56.53984850645065,983.0
196,11,9,neutral,3135.0,3133.0,3103.0495569705963,3135.0,2.0,2.0,3135.0
196,11,9,distance,1267.0,1171.0,899.8017797470093,1243.225200176239,57.087411761283875,92.36430913209915,1082.0
