round,phase,acc,lr,ramp,loss,L_sup,L_A,L_B,L_proto,L_feature,a_ratio,a_prec,b_ratio,b_prec,c_ratio,c_prec,a_wrong_weight,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,global_valid_classes,global_prototypes,prototype_upload_bytes,update_norm_mean,clip_fraction,clip_cap,seconds,steps,u_visits,best_acc,best_round
30,main,0.5764,0.14632923872213652,0.4,0.29695970692524787,0.10710724625785492,0.0,0.13327399955964403,0.053941933688168464,0.002636527734361344,0.0,0.0,0.6634662828947369,0.5665922964891079,0.33653371710526314,0.3155660089192987,0.0,0.1339267375045701,1.0,1.0050450544608267,0.4809004934210526,0.48211348684210525,0.002821751644736842,0.0016087582236842105,0.028807834229481064,10,30,247120,8.364492424168208,0.0,16.425514062919945,138.19626259803772,760,194560.0,0.6409,26
31,main,0.5763,0.14608263075071892,0.42,0.28315676391908995,0.09401168069881877,0.0,0.13233299034794693,0.05371227086962838,0.003099821453093012,0.0,0.0,0.6916272615131579,0.6736918766674346,0.3083727384868421,0.34943413837358533,0.0,0.14315851391538192,1.0,0.9710988660392008,0.5728104440789473,0.5736996299342105,0.002646998355263158,0.0017578125,0.031867984601443536,10,30,247120,7.462356088235461,0.0,16.471107270352054,137.46650624275208,760,194560.0,0.6409,26
32,main,0.59,0.1458282277678111,0.44,0.2784642241895199,0.08523611383019383,0.0,0.13391728594310973,0.05543823392669621,0.0038725906517356632,0.0,0.0,0.6604543585526316,0.5907874052514436,0.33954564144736843,0.30893705912627534,0.0,0.15307874779560063,1.0,1.0282411303175123,0.4940840871710526,0.49508634868421053,0.0031712582236842106,0.0021689967105263156,0.03510065445382344,10,30,247120,7.560470525698075,0.0,16.276084834501155,139.36658334732056,760,194560.0,0.6409,26
33,main,0.5686,0.1455660576715669,0.46,0.2725558528774663,0.0712748963095548,0.0,0.13797144644746656,0.05880178913572117,0.004507721840452991,0.0,0.0,0.7022101151315789,0.6667227825679612,0.29778988486842106,0.3525492768131451,0.0,0.15708475226634427,1.0,0.9779473343962117,0.5726870888157894,0.5731650904605263,0.0028885690789473683,0.0024105674342105262,0.04197043864252536,10,30,247120,6.9479615056196184,0.0,16.168136291059223,136.80769228935242,760,194560.0,0.6409,26
34,main,0.6454,0.14529614921189185,0.48,0.2730598411669857,0.07602639451204021,0.0,0.13298955080344488,0.058451364699162935,0.005592531199861122,0.0,0.0,0.6784642269736842,0.6364145997787912,0.3215357730263158,0.33436171233095685,0.0,0.16936125108285954,1.0,1.0163778236822079,0.5379214638157894,0.539293791118421,0.003813733552631579,0.00244140625,0.042787238504541546,10,30,247120,7.447476722047654,0.0,15.93386612047676,137.74577951431274,760,194560.0,0.6454,34
35,main,0.6139,0.14501853198729012,0.5,0.26497404173408684,0.0572522439064893,0.0,0.1427836732154614,0.05851046286131206,0.006427662338644854,0.0,0.0,0.7009457236842105,0.6676028040124362,0.29905427631578946,0.3431011962051423,0.0,0.17635960947526128,1.0,0.9971111730525368,0.5700863486842105,0.5705592105263158,0.003310032894736842,0.002837171052631579,0.04538912484912496,10,30,247120,6.567453809285021,0.0,15.907459853072922,137.80668115615845,760,194560.0,0.6454,34
36,main,0.6346,0.14473323644161884,0.52,0.26723489755470503,0.05889936919288869,0.0,0.13823965172234334,0.06208041563237968,0.008015461024632187,0.0,0.0,0.6788548519736842,0.6624948893835461,0.3211451480263158,0.33105534393905445,0.0,0.18428896794977942,1.0,1.0333725567711027,0.5542300575657895,0.5560546875,0.004194078947368421,0.002369449013157895,0.048894263818663984,10,30,247120,6.721390609504342,0.0,15.632085963635987,139.0031292438507,760,194560.0,0.6454,34
37,main,0.6631,0.1444402938607496,0.54,0.2683390694229226,0.05815103733862328,0.0,0.1370806237976802,0.06370763113035967,0.00939977781932899,0.0,0.0,0.6826942845394737,0.6699717673630717,0.3173057154605263,0.336340811533166,0.0,0.18643355691119246,1.0,1.028994871126978,0.5636461759868421,0.5641087582236842,0.0033408717105263158,0.0028782894736842104,0.05252782633822215,10,30,247120,6.717316535167554,0.0,15.32140159990392,135.78924536705017,760,194560.0,0.6631,37
38,main,0.6583,0.14413973636913754,0.56,0.2708536871365811,0.04985603800466235,0.0,0.14624585216178707,0.06347443366325216,0.011277363029627228,0.0,0.0,0.6924753289473684,0.6863235556083368,0.3075246710526316,0.3427597272362615,0.0,0.19344731373222251,1.0,1.0169616007491162,0.5763106496710526,0.5806692023026315,0.005993009868421053,0.0016344572368421054,0.05106683025920861,10,30,247120,6.451917637023779,0.0,15.19679412743023,136.60612988471985,760,194560.0,0.6631,37
39,main,0.6674,0.14383159692629857,0.58,0.26113853662421826,0.042422151194209855,0.0,0.14288711322373465,0.06258356919218051,0.013245703045916008,0.0,0.0,0.7171926398026316,0.7466263428338004,0.2828073601973684,0.3598858659106192,0.0,0.2068100182437583,1.0,1.0009167242991297,0.6340563322368421,0.6372532894736842,0.005283717105263158,0.0020867598684210526,0.059237065661306446,10,30,247120,6.043421486967755,0.0,15.097409262737157,137.03806138038635,760,194560.0,0.6674,39
