round,client,fedavg_weight,L_sup,L_A,L_B,L_proto,L_feature,loss,a_count,b_count,c_count,a_correct,b_correct,c_correct,a_wrong_weight,u_visits,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,steps
12,3,0.125,15.207473019137979,0.5858890177914873,3.3521318063139915,0.6600652202032506,0.061971891846042126,19.867531184107065,3373.0,13722.0,7225.0,1971.0,5517.0,1921.0,56.07999999999999,24320.0,279.7355363368988,24320.0,18565.411087036133,9410.0,9409.0,4.0,5.0,2.0162413250654936,95
12,11,0.125,15.831308186985552,0.37428936795913614,3.1741433031857014,0.6363607808016241,0.06438015442108735,20.080481734126806,2577.0,13253.0,8490.0,2288.0,6238.0,2460.0,11.56,24320.0,280.641006231308,24320.0,20509.06723022461,10980.0,10986.0,9.0,3.0,1.904299357905984,95
13,19,0.125,26.4798604240641,0.3647832668866613,6.083053923211992,0.9957340303808451,0.0812722347327508,34.00470378994942,1331.0,13435.0,9554.0,1063.0,4354.0,2211.0,16.080000000000005,24320.0,378.1801300048828,24320.0,22387.827758789062,7614.0,7628.0,15.0,1.0,1.791594710201025,95
13,9,0.125,21.64119482692331,0.651667545636883,4.989235159009695,0.9835576368495822,0.06951804863638245,28.335173409432173,2961.0,14758.0,6601.0,1470.0,4974.0,1311.0,89.45999999999998,24320.0,478.358371257782,24320.0,17799.2890625,7749.0,7755.0,10.0,4.0,1.7318489998579025,95
13,16,0.125,18.113479616120458,1.0939482899848372,4.461606418713927,0.9980239169672132,0.06811493102577515,24.735172994434834,4686.0,12835.0,6799.0,1623.0,4626.0,1615.0,183.78,24320.0,448.186203956604,24320.0,17992.028549194336,7868.0,7864.0,2.0,6.0,1.8310877308249474,95
13,14,0.125,10.572338388301432,0.4134669921695604,4.639759179204702,0.915396386757493,0.0744932507222984,16.615454334765673,1934.0,14966.0,7420.0,1156.0,6118.0,1827.0,46.68000000000001,24320.0,482.8814606666565,24320.0,18978.94223022461,9101.0,9101.0,6.0,6.0,1.7328750491142273,95
13,3,0.125,6.274361071176827,1.1105326642282307,3.95185824111104,0.9600063255056739,0.06130921599105932,12.35806743428111,5228.0,13089.0,6003.0,3247.0,5963.0,1678.0,118.86000000000001,24320.0,418.90189027786255,24320.0,16023.822463989258,10894.0,10888.0,5.0,11.0,1.731072248890996,95
13,17,0.125,17.776680289767683,0.5770885853416985,5.34431735239923,0.9567837780341506,0.08106827532174066,24.73593821376562,2270.0,13470.0,8580.0,1385.0,5230.0,2261.0,53.099999999999994,24320.0,428.648877620697,24320.0,21115.936721801758,8886.0,8876.0,4.0,14.0,1.7329332437366247,95
13,6,0.125,19.247441740706563,0.682110290392302,4.529721029102802,1.0102372337132692,0.07584156678058207,25.545352078974247,2926.0,11940.0,9454.0,2162.0,4197.0,2187.0,45.839999999999996,24320.0,377.4171574115753,24320.0,21821.24610900879,8544.0,8546.0,4.0,2.0,1.7829195018857718,95
13,12,0.125,17.48208828177303,0.4001814679650124,5.829667340964079,0.9690993782132864,0.08097819850081578,24.762014493346214,1568.0,13365.0,9387.0,984.0,5491.0,2306.0,35.04000000000001,24320.0,367.353413105011,24320.0,22007.588134765625,8778.0,8781.0,9.0,6.0,1.7129453085362911,95
