round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
140,1,1,3,18,16,1.9543339014053345,4.482048988342285
140,1,1,4,16,15,1.7011910676956177,4.507226467132568
140,1,1,5,24,24,2.074932813644409,7.074817180633545
140,1,1,6,9,9,0.4587665796279907,3.8210954666137695
140,1,1,7,27,27,2.1267125606536865,8.693368911743164
140,1,2,1,5,5,0.1499277949333191,2.6086554527282715
140,1,2,2,23,23,1.736506462097168,10.310466766357422
140,1,2,3,18,18,1.8232107162475586,7.256681442260742
140,1,2,4,16,16,1.427330732345581,6.823024749755859
140,1,2,5,24,24,2.0563535690307617,8.838569641113281
140,1,2,6,9,9,0.3535032868385315,3.8332786560058594
140,1,2,7,27,27,2.4138877391815186,11.630313873291016
140,1,3,1,5,5,0.23739033937454224,2.6771485805511475
140,1,3,2,23,23,1.5354835987091064,11.099701881408691
140,1,3,3,18,18,1.616157054901123,7.950298309326172
140,1,3,4,16,16,1.0306644439697266,7.511600494384766
140,1,3,5,24,24,1.4178552627563477,11.719812393188477
140,1,3,6,9,9,0.4779144525527954,4.176076889038086
140,1,3,7,27,27,1.7956485748291016,12.632789611816406
140,1,4,1,5,5,0.1607494354248047,3.1460793018341064
140,1,4,2,23,23,1.436461091041565,12.415046691894531
140,1,4,3,18,18,1.5840630531311035,8.49013614654541
140,1,4,4,16,16,1.1107994318008423,7.8373942375183105
140,1,4,5,24,24,1.2275233268737793,12.184886932373047
140,1,4,6,9,9,0.2673361301422119,4.790802001953125
140,1,4,7,27,27,2.218421697616577,12.589150428771973
140,1,5,1,5,5,0.1407172679901123,3.230832576751709
140,1,5,2,23,23,1.2194812297821045,12.7066650390625
140,1,5,3,18,18,1.1500730514526367,8.941839218139648
140,1,5,4,16,16,0.9473684430122375,8.676569938659668
140,1,5,5,24,24,1.4172818660736084,11.507091522216797
140,1,5,6,9,9,0.27328234910964966,4.645277976989746
140,1,5,7,27,27,2.458202362060547,12.677495956420898
140,19,1,0,21,21,2.10445237159729,7.158585071563721
140,19,1,2,22,22,2.0647833347320557,7.143120765686035
140,19,1,5,28,28,3.2502076625823975,8.96570110321045
140,19,1,6,25,25,1.8523240089416504,11.464367866516113
140,19,1,7,4,4,0.32597893476486206,1.4613046646118164
140,19,1,8,22,22,2.218733787536621,8.847954750061035
140,19,2,0,21,21,1.902235984802246,8.672083854675293
140,19,2,2,22,22,2.4342265129089355,9.365660667419434
140,19,2,5,28,28,1.833497166633606,10.57375717163086
140,19,2,6,25,25,2.0555834770202637,12.446676254272461
140,19,2,7,4,4,0.43910539150238037,1.36318838596344
140,19,2,8,22,22,1.4930226802825928,10.157142639160156
140,19,3,0,21,21,1.425502061843872,10.25910758972168
140,19,3,2,22,22,1.7462561130523682,10.249515533447266
140,19,3,5,28,28,1.6451884508132935,15.009252548217773
140,19,3,6,25,25,1.4116101264953613,14.668540954589844
140,19,3,7,4,4,0.32188934087753296,2.0036325454711914
140,19,3,8,22,22,1.3055579662322998,11.115055084228516
140,19,4,0,21,21,1.2269374132156372,10.868724822998047
140,19,4,2,22,22,1.886352777481079,10.215995788574219
140,19,4,5,28,28,1.6768996715545654,14.968011856079102
140,19,4,6,25,25,1.2423815727233887,14.930719375610352
140,19,4,7,4,4,0.3188369870185852,1.976466178894043
140,19,4,8,22,22,1.1628046035766602,12.151813507080078
140,19,5,0,21,21,1.5502759218215942,10.866585731506348
140,19,5,2,22,22,1.4495999813079834,11.127006530761719
140,19,5,5,28,28,2.0544588565826416,13.78082275390625
140,19,5,6,25,25,1.6845914125442505,12.773595809936523
140,19,5,7,4,4,0.3334382176399231,1.9893639087677002
140,19,5,8,22,22,1.02586030960083,12.508936882019043
140,13,1,0,6,6,0.7326363325119019,2.288440704345703
140,13,1,1,15,15,0.5687869191169739,9.562658309936523
140,13,1,2,25,24,2.6774797439575195,6.5605998039245605
140,13,1,4,25,25,2.5649449825286865,7.0196075439453125
140,13,1,5,19,18,2.203369617462158,6.219358444213867
140,13,1,6,8,8,0.5234746336936951,2.886251926422119
140,13,1,7,25,25,1.8265063762664795,8.730424880981445
140,13,2,0,6,6,0.4562344551086426,3.010788917541504
140,13,2,1,15,15,0.5670652389526367,9.281164169311523
140,13,2,2,25,25,2.6697521209716797,9.236246109008789
140,13,2,4,25,25,1.768584966659546,10.052911758422852
140,13,2,5,19,19,1.2973904609680176,9.121286392211914
140,13,2,6,8,8,0.5918698310852051,2.834196090698242
140,13,2,7,25,25,2.4297635555267334,10.744781494140625
140,13,3,0,6,6,0.590670108795166,2.6579489707946777
140,13,3,1,15,15,0.5776767134666443,9.3394136428833
140,13,3,2,25,25,1.8775906562805176,10.076436996459961
140,13,3,4,25,25,1.5902519226074219,10.555545806884766
140,13,3,5,19,19,1.0389666557312012,8.936502456665039
140,13,3,6,8,8,0.4792519211769104,3.4220659732818604
140,13,3,7,25,25,2.104475498199463,11.049430847167969
140,13,4,0,6,6,0.4574349522590637,2.7382774353027344
140,13,4,1,15,15,0.49234539270401,10.041555404663086
140,13,4,2,25,25,1.9155714511871338,9.530699729919434
140,13,4,4,25,25,1.9666380882263184,10.480512619018555
140,13,4,5,19,19,1.4762837886810303,8.771860122680664
140,13,4,6,8,8,0.599672794342041,3.3828086853027344
140,13,4,7,25,25,1.6222063302993774,12.352662086486816
140,13,5,0,6,6,0.47905439138412476,2.88161563873291
140,13,5,1,15,15,0.465048611164093,9.164366722106934
140,13,5,2,25,25,2.0297188758850098,9.669073104858398
140,13,5,4,25,25,1.452732801437378,11.306419372558594
140,13,5,5,19,19,0.8877122402191162,10.47012996673584
140,13,5,6,8,8,0.40770530700683594,3.455393075942993
140,13,5,7,25,25,1.9557421207427979,12.30309009552002
141,4,1,0,14,14,1.5651013851165771,4.365854263305664
141,4,1,2,22,20,2.582500457763672,5.7505998611450195
141,4,1,6,27,26,2.2420616149902344,11.140869140625
141,4,1,7,14,14,1.3484421968460083,6.321140766143799
141,4,1,8,32,32,2.893223285675049,13.236108779907227
141,4,1,9,13,13,0.9888167977333069,6.081733703613281
141,4,2,0,14,14,1.7390708923339844,4.932852745056152
141,4,2,2,22,22,2.357105016708374,8.386404991149902
141,4,2,6,27,27,1.7048685550689697,12.62584114074707
141,4,2,7,14,14,1.166208028793335,6.054305076599121
141,4,2,8,32,32,1.5307228565216064,15.801395416259766
141,4,2,9,13,13,0.6064726710319519,5.6747541427612305
141,4,3,0,14,14,1.4277538061141968,5.300156593322754
141,4,3,2,22,22,1.9166738986968994,10.40163516998291
141,4,3,6,27,27,1.9844744205474854,13.016915321350098
141,4,3,7,14,14,0.90599524974823,6.380765438079834
141,4,3,8,32,32,1.5932945013046265,15.903939247131348
141,4,3,9,13,13,0.5208138227462769,6.071573257446289
141,4,4,0,14,14,1.3857842683792114,5.643070697784424
141,4,4,2,22,22,1.8942933082580566,9.866106033325195
141,4,4,6,27,27,1.8793976306915283,14.87551498413086
141,4,4,7,14,14,0.8577544689178467,7.151320457458496
141,4,4,8,32,32,1.3489408493041992,17.479400634765625
141,4,4,9,13,13,0.6091011166572571,6.946913242340088
141,4,5,0,14,14,1.4052338600158691,5.68686580657959
141,4,5,2,22,22,2.3126797676086426,9.934526443481445
141,4,5,6,27,27,1.2491021156311035,14.877413749694824
141,4,5,7,14,14,0.8640205264091492,7.399660110473633
141,4,5,8,32,32,1.4443750381469727,16.66626739501953
141,4,5,9,13,13,0.4182254672050476,7.23787784576416
141,6,1,0,21,21,2.3392112255096436,8.393888473510742
141,6,1,1,23,23,1.3343307971954346,13.77164077758789
141,6,1,2,4,4,0.46579915285110474,0.9357227087020874
141,6,1,3,14,14,1.8210620880126953,3.6674816608428955
141,6,1,4,10,10,1.0979554653167725,3.780508041381836
141,6,1,5,31,28,3.7488937377929688,5.879084587097168
141,6,1,7,21,21,2.410513401031494,6.121123313903809
141,6,2,0,21,21,2.549849510192871,7.19119930267334
141,6,2,1,23,23,0.6428520679473877,13.853529930114746
141,6,2,2,4,4,0.39091014862060547,1.68149733543396
141,6,2,3,14,14,1.8346400260925293,4.39687442779541
141,6,2,4,10,10,0.8940926194190979,5.01164436340332
141,6,2,5,31,31,2.1852355003356934,10.964971542358398
141,6,2,7,21,21,1.793504238128662,8.51921558380127
