loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,round,acc,phase
0.6263581598275587,0.0318942018502735,0.21773937521012207,0.5637835833587144,0.948327928075665,95.0,24320.0,11366.875,10537.625,2415.5,8441.75,2764.75,14526.625,9693.5,11366.875,75,0.7772,2
0.6236112989877399,0.0279924311132881,0.22169498306159913,0.5644085404119994,0.9171961587510611,95.0,24320.0,12064.5,9926.0,2329.5,8047.625,2586.625,14760.25,10535.875,12064.5,76,0.7495,2
0.6280289662511725,0.03567676561774294,0.22090692977960175,0.5567045446289213,0.9309299783487069,95.0,24320.0,12385.125,9874.5,2060.375,8073.625,3011.875,15305.5,10502.5,12385.125,77,0.7361,2
0.6281256545923258,0.031217054542043786,0.22557741879044393,0.5593886539732155,0.9163685388470951,95.0,24320.0,11763.875,10311.875,2244.25,8744.875,3355.5,14870.0,9672.375,11763.875,78,0.7734,2
0.621706402811565,0.030697919805166556,0.22128498142487127,0.5566909839448175,0.9137800822132511,95.0,24320.0,12043.125,10083.125,2193.75,8612.625,3203.375,14920.125,9937.25,12043.125,79,0.7743,2
0.6099866242000931,0.026515697912423333,0.21780856253677292,0.5582940515718962,0.8651533596609768,95.0,24320.0,12907.5,9347.125,2065.375,7459.375,2678.375,15355.875,11156.5,12907.5,80,0.7415,2
0.6287727872792044,0.030061909398309102,0.2323109013273528,0.5616370270911016,0.8558146396749898,95.0,24320.0,12184.0,9850.875,2285.125,8207.75,2805.0,14791.875,10254.25,12184.0,81,0.7734,2
0.6424869662836978,0.03710834439905164,0.23565169498324395,0.5607583627496895,0.8934774714865183,95.0,24320.0,11702.25,10173.25,2444.5,8724.125,2797.0,14155.75,9942.625,11702.25,82,0.7712,2
0.6276214203160061,0.033272284123813736,0.22691391358446134,0.5655411411664988,0.8466465415923219,95.0,24320.0,12553.625,9452.25,2314.125,8581.75,2998.625,14821.5,10447.5,12553.625,83,0.7689,2
0.6156034066488869,0.030860390928788353,0.22195827339432742,0.5562823730079751,0.8464355529923188,95.0,24320.0,12814.0,9245.5,2260.5,7877.375,2602.25,15026.75,11041.125,12814.0,84,0.7569,2
0.6379665812379436,0.030734166846684133,0.2408853005617857,0.5602995804658062,0.8619732450497779,95.0,24320.0,12089.0,9792.625,2438.375,9052.25,3146.5,14267.875,9974.875,12089.0,85,0.7871,2
0.624537336865538,0.027799494208087902,0.23721668426143497,0.5515917481560456,0.8372528468307695,95.0,24320.0,12806.25,9420.625,2093.125,8563.125,3341.75,15087.5,10525.125,12806.25,86,0.7258,2
0.629146392251316,0.03091999790815048,0.23706951568785464,0.5549186963784067,0.8369753036844103,95.0,24320.0,12816.625,9286.375,2217.0,8252.75,2910.25,14823.875,10777.875,12816.625,87,0.7614,2
0.6298671487914889,0.02916475639764318,0.23806987245027955,0.5629353527567889,0.8116484252245804,95.0,24320.0,12793.75,9164.875,2361.375,8174.875,2699.25,14633.25,10834.5,12793.75,88,0.78,2
0.6155200151236434,0.033746157059948406,0.2225930022663976,0.5557113441981768,0.8132518371469095,95.0,24320.0,12778.0,9277.75,2264.25,8124.375,2797.625,14940.875,10825.375,12778.0,89,0.7444,2
0.6252086744888832,0.032076908530679675,0.23273664031569896,0.5605463169907268,0.8012196671805883,95.0,24320.0,13054.75,9077.0,2188.25,8521.375,3262.625,15005.875,10632.375,13054.75,90,0.7883,2
0.6246639635217817,0.028225230982551645,0.2331195081437105,0.5685147723869273,0.7906183842765657,95.0,24320.0,13355.625,8728.75,2235.625,7874.625,2679.625,15044.0,11434.375,13355.625,91,0.7663,2
0.6114586612895916,0.027240898677662603,0.23257777733042054,0.5480006501470742,0.7763966000393817,95.0,24320.0,13633.125,8613.625,2073.25,6984.375,2317.25,15480.625,12003.25,13633.125,92,0.7445,2
0.6129863880966839,0.029605507268876723,0.22611899957256884,0.5584541205904985,0.7803482123895695,95.0,24320.0,13468.375,8695.75,2155.875,8583.875,3331.5,15322.5,10932.375,13468.375,93,0.7772,2
0.6270816271242343,0.03103409124703735,0.23663540352135892,0.56144369742588,0.7869028249853537,95.0,24320.0,13152.375,8886.0,2281.625,8395.875,2998.625,14826.625,10907.75,13152.375,94,0.77,2
0.6131829208449314,0.026692029641095648,0.22866168917205773,0.5594119142544897,0.7812324448635705,95.0,24320.0,14283.5,8014.125,2022.375,7691.75,2881.0,15613.625,12120.625,14283.5,95,0.7347,2
0.6196564552815337,0.02664395367794082,0.23659630843291157,0.5600736424719033,0.7637937235204797,95.0,24320.0,13401.375,8686.875,2231.75,8713.0,3351.125,15062.625,10910.0,13401.375,96,0.7565,2
0.6360547027697688,0.031645358428604116,0.24346133588176025,0.568047263394845,0.7692437713867739,95.0,24320.0,13192.0,8820.375,2307.625,9371.75,3750.625,14770.25,10353.0,13192.0,97,0.7692,2
0.6294279227131292,0.03017810763129474,0.24056729210638683,0.5619610879766314,0.7770197788351461,95.0,24320.0,12621.0,9282.875,2416.125,8932.25,3161.375,14532.875,10261.0,12621.0,98,0.7938,2
0.6159595022468191,0.02571267293563946,0.23633502104172582,0.5587480282312945,0.7453779458999634,95.0,24320.0,13995.625,8163.5,2160.875,7757.25,2792.125,15361.0,11910.75,13995.625,99,0.7533,2
0.629829477126661,0.029199874959273363,0.2482928280179438,0.5526125142840962,0.7603051467945702,95.0,24320.0,13278.75,8757.0,2284.25,9819.625,4045.125,14706.75,10137.125,13278.75,100,0.7567,2
0.6284008002594897,0.027086852797564415,0.24047629966547612,0.5726935848985848,0.7449085578322411,95.0,24320.0,13055.875,8857.25,2406.875,9543.875,3703.625,14557.625,10268.25,13055.875,101,0.7883,2
0.6259957100999983,0.027257599496883094,0.2436358711927345,0.5661577542753595,0.720233614821183,95.0,24320.0,13347.5,8681.75,2290.75,8650.5,3174.5,14773.125,10932.75,13347.5,102,0.7947,2
