loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,b_correct,b_total,lr,gate,aux_scale,tau0,delta0,eta_B,tau_warmup,a_ratio_cap,use_a_for_proto,lambda_A_scale,round,acc,phase
0.3428190144465158,0.07456237399754556,0.26825664044897024,0.0,1.7534743512931625,95.0,24320.0,9678.625,0.0,14641.375,10342.5,2354.625,14043.875,7324.0,9678.625,0.0,0.0,0.09546180545235344,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,41,0.6296,1
0.4025877984828855,0.08201002468857424,0.32057777383413755,0.0,1.7719981665674012,95.0,24320.0,9644.625,0.0,14675.375,12044.875,2986.25,12830.0,6658.375,9644.625,0.0,0.0,0.095241352623301,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,42,0.6231,1
0.3916263212204764,0.07477429318793216,0.3168520277660144,0.0,1.741458258503362,95.0,24320.0,9647.625,0.0,14672.375,12323.75,3067.0,13004.25,6580.625,9647.625,0.0,0.0,0.09501593857010969,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,43,0.6267,1
0.37735783086207353,0.07832962156236661,0.2990282093615908,0.0,1.7447222977876662,95.0,24320.0,9669.25,0.0,14650.75,11888.75,3028.125,13083.875,6641.125,9669.25,0.0,0.0,0.09478558801197066,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,44,0.589,1
0.3961352562335761,0.08483891472447125,0.31129634069572937,0.0,1.6810054531222898,95.0,24320.0,9672.25,0.0,14647.75,14188.875,4203.625,13080.5,5468.625,9672.25,0.0,0.0,0.09455032620941839,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,45,0.6322,1
0.3429966308862755,0.06482343080110456,0.27817320006066243,0.0,1.7110464855244285,95.0,24320.0,9669.0,0.0,14651.0,10750.25,2424.375,13649.0,7244.625,9669.0,0.0,0.0,0.09431017896156074,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,46,0.6413,1
0.3796649651013707,0.07846759517223721,0.3011973696221646,0.0,1.7014088978892878,95.0,24320.0,9662.875,0.0,14657.125,10489.25,2279.25,13220.0,7383.625,9662.875,0.0,0.0,0.09406517260324962,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,47,0.6634,1
0.3362829807459523,0.06280978119221368,0.2734731997951473,0.0,1.7077627597670804,95.0,24320.0,9685.25,0.0,14634.75,10458.125,2392.375,13925.5,7292.875,9685.25,0.0,0.0,0.09381533400219319,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,48,0.6215,1
0.3315061109434617,0.06617061630332548,0.26533549411320373,0.0,1.731498845941142,95.0,24320.0,9687.0,0.0,14633.0,10616.875,2451.125,13845.625,7235.875,9687.0,0.0,0.0,0.09356069055600948,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,49,0.6514,1
0.3549121058791091,0.0660310678416863,0.2888810382763806,0.0,1.6793959401155774,95.0,24320.0,9684.875,0.0,14635.125,11973.625,3122.625,13380.75,6562.25,9684.875,0.0,0.0,0.09330127018922195,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,50,0.699,1
